Check Number        Amount              Date
467324              3200.0              01/13
467329              930.0               01/11
467331              2133.27             01/09
467338              2431.42             01/04
467341              958.39              01/03
467345              1435.0              01/06
467347              12500.0             01/09
467348              2391.0              01/09
467350              2852.0              01/06
467351              6000.0              01/06
467352              2500.0              01/06
467355              10000.0             01/11
467357              1000.0              01/06
467359              422.49              01/09
467365              6000.0              01/10
467368              663.61              01/10
467372              4821.3              01/04
467378              3090.0              01/04
467381              3765.0              01/11
467382              3802.91             01/11
467402              4000.0              01/11
467406              3900.0              01/09
467407              1468.77             01/11
467408              5047.68             01/05
467412              3000.0              01/11
467421              8500.0              01/12
467434              5326.99             01/04
467437              5940.0              01/11
467442              6000.0              01/11
467445              19800.0             01/09
467446              2000.0              01/06
467450              787.2               01/06
467451              5300.0              01/11
467454              8900.0              01/06
467457              445.0               01/11
467470              2061.0              01/09
467483              15000.0             01/11
467485              16000.0             01/06
467487              1035.32             01/06
467488              915.25              01/04
467495              2600.0              01/11
467503              555.0               01/03
467504              1650.0              01/05
467506              6000.0              01/04
467517              11491.51            01/03
467523              450.0               01/05
467536              407.91              01/10
467542              9135.0              01/10
467552              291.77              01/11
467567              1849.02             01/06
467569              4000.0              01/11
467576              500.0               01/10
467577              6000.0              01/04
467579              4800.0              01/06
467582              2198.08             01/04
467585              3204.54             01/06
467589              760.0               01/11
467591              3087.11             01/06
467594              600.0               01/06
467597              24000.0             01/09
467601              2254.0              01/09
467602              1400.0              01/10
467605              5500.0              01/06
467611              4000.0              01/11
467612              5000.0              01/06
467615              1000.0              01/03
467618              5000.0              01/11
467625              14000.0             01/09
467631              1888.0              01/03
467633              1600.0              01/06
467643              17000.0             01/06
467654              3000.0              01/06
467660              10000.0             01/11
467661              1425.0              01/09
467664              795.0               01/11
467665              4400.0              01/06
467668              896.0               01/09
467670              3572.97             01/11
467671              880.52              01/11
467675              20000.0             01/06
467676              3500.0              01/06
467679              1600.0              01/03
467681              2800.0              01/10
467683              43.71               01/05
467687              287.7               01/13
467688              28.72               01/09
467689              7.41                01/03
467690              15.0                01/12
467693              6.77                01/03
467695              39.46               01/04
467696              41.98               01/04
467700              28.64               01/11
467701              90.18               01/17
467702              7.72                01/04
467704              75.0                01/04
467705              14.87               01/12
467706              1.18                01/06
467708              1.34                01/03
467709              59.0                01/03
467710              50.0                01/04
467711              5.0                 01/03
467712              54.68               01/03
